,New York
683,1.8395944417412124
684,1.8395944417412124
685,1.699594441741226
686,1.5695944417412306
687,1.1895944417411783
688,0.6695944417411965
689,0.209594441741217
690,0.06959444174123064
691,0.06959444174123064
692,0.06959444174123064
693,0.07959444174122154
694,0.26959444174121927
695,-0.11040555825877618
696,0.209594441741217
697,0.15959444174120563
698,0.5095944417412284
699,1.219594441741208
700,1.209594441741217
701,1.3995944417412147
702,2.229594441741199
703,2.6695944417411965
704,3.629594441741176
705,3.719594441741208
706,4.569594441741231
707,3.969594441741208
708,3.8995944417412147
709,3.449594441741226
710,3.289594441741201
711,2.059594441741183
712,1.4195944417411965
713,1.4195944417411965
714,0.5595944417411829
715,0.5095944417412284
716,1.3295944417412215
717,1.5895944417412124
718,1.8495944417412034
719,0.4995944417411806
720,0.3895944417412238
721,-0.040405558258783
722,-0.15040555825879665
723,-0.41040555825878755
724,0.5995944417412034
725,0.33959444174121245
726,0.06959444174123064
727,-0.5904055582587944
728,-0.5004055582588194
729,-0.43040555825876936
730,-0.8104055582588217
731,-1.1304055582588148
732,-1.1304055582588148
733,-1.8304055582588035
734,-2.47040555825879
735,-3.0004055582588194
736,-2.1804055582587694
737,-2.450405558258808
738,-2.8204055582588126
739,-3.47040555825879
740,-3.5804055582588035
741,-4.490405558258772
742,-4.110405558258776
743,-4.490405558258772
744,-4.76040555825881
745,-4.020405558258801
746,-3.7504055582588194
747,-3.7504055582588194
748,-2.8404055582587944
749,-2.7304055582587807
750,-1.8104055582588217
751,-2.360405558258776
752,-2.360405558258776
753,-2.360405558258776
754,-3.0004055582588194
755,-3.110405558258776
756,-3.380405558258815
757,-3.9104055582587876
758,-4.460405558258799
759,-5.100405558258785
760,-5.370405558258824
761,-5.5804055582588035
762,-6.060405558258822
763,-6.060405558258822
764,-6.060405558258822
765,-6.440405558258817
766,-7.090405558258794
767,-7.240405558258772
768,-6.320405558258813
769,-4.550405558258774
770,-3.120405558258824
771,-1.9804055582587807
772,-1.2304055582587807
773,-1.3404055582587944
774,-1.2304055582587807
775,-1.3404055582587944
776,-0.9604055582587989
777,-1.0604055582588217
778,-2.2504055582588194
779,-2.520405558258801
780,-3.1604055582587876
781,-3.270405558258801
782,-3.270405558258801
783,-3.270405558258801
784,-3.270405558258801
785,-3.540405558258783
786,-3.540405558258783
787,-3.540405558258783
788,-3.9204055582587785
789,-3.540405558258783
790,-3.9104055582587876
791,-3.9104055582587876
792,-3.800405558258774
793,-3.540405558258783
794,-2.5104055582588103
795,-1.280405558258792
796,-0.8004055582587739
797,-1.3404055582587944
798,-1.870405558258824
799,-1.9804055582587807
800,-1.710405558258799
801,-1.8104055582588217
802,-2.3504055582587853
803,-4.020405558258801
804,-4.460405558258799
805,-5.26040555825881
806,-5.5804055582588035
807,-5.960405558258799
808,-6.280405558258792
809,-6.390405558258806
810,-6.180405558258769
811,-6.280405558258792
812,-6.490405558258772
813,-6.180405558258769
814,-6.230405558258781
815,-6.280405558258792
816,-5.960405558258799
817,-5.380405558258815
818,-4.290405558258783
819,-3.440405558258817
820,-2.9004055582587966
821,-2.3104055582588217
822,-2.3104055582588217
823,-1.8204055582588126
824,-2.7304055582587807
825,-3.22040555825879
826,-3.800405558258774
827,-4.440405558258817
828,-5.26040555825881
829,-6.060405558258822
830,-6.280405558258792
831,-6.450405558258808
832,-7.370405558258824
833,-7.630405558258815
834,-7.630405558258815
835,-7.630405558258815
836,-7.630405558258815
837,-7.900405558258797
838,-7.900405558258797
839,-8.210405558258799
840,-7.880405558258815
841,-7.560405558258822
842,-6.01040555825881
843,-5.180405558258769
